2011-2016 interstate migration flows by age and sex,,,,,,,,,,,,
,,,,Destination,,,,,,,,
,,,,stayers,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
state_name,state_code,sex,age,stayers,D1,D2,D3,D4,D5,D6,D7,D8
TAS,6,F,0,0,0,0,0,0,0,0,0,0
TAS,6,F,5,12854,164,256,361,63,118,0,34,21
TAS,6,F,10,12675,115,184,253,28,73,0,13,15
TAS,6,F,15,12900,116,366,298,57,69,0,9,23
TAS,6,F,20,11290,344,1052,544,105,234,0,35,76
TAS,6,F,25,10418,304,822,502,86,254,0,49,62
TAS,6,F,30,11264,197,467,349,35,170,0,28,30
TAS,6,F,35,11541,150,282,285,50,114,0,32,19
TAS,6,F,40,13412,139,212,298,42,126,0,28,22
TAS,6,F,45,14972,108,196,275,48,94,0,27,13
TAS,6,F,50,15270,139,178,237,38,77,0,22,13
TAS,6,F,55,16042,124,172,227,36,70,0,11,7
TAS,6,F,60,14672,108,151,232,25,63,0,3,11
TAS,6,F,65,13817,94,143,160,31,29,0,6,9
TAS,6,F,70,10309,74,85,91,20,21,0,0,9
TAS,6,F,75,7557,22,34,31,5,13,0,0,3
TAS,6,F,80,5326,20,23,23,0,8,0,0,0
TAS,6,F,85,5725,7,25,27,0,0,0,0,0
NT,7,F,0,0,0,0,0,0,0,0,0,0
NT,7,F,5,5497,256,243,607,215,187,43,0,63
NT,7,F,10,5349,223,181,464,178,173,26,0,54
NT,7,F,15,4870,144,241,423,205,126,18,0,47
NT,7,F,20,4160,186,353,427,264,154,18,0,36
NT,7,F,25,4518,353,280,576,255,247,31,0,45
NT,7,F,30,5392,422,487,700,305,329,50,0,73
NT,7,F,35,5199,309,341,611,210,256,49,0,68
NT,7,F,40,5279,214,208,539,158,183,28,0,67
NT,7,F,45,5403,175,130,430,171,148,20,0,39
NT,7,F,50,4990,116,123,381,143,127,35,0,35
NT,7,F,55,4345,153,133,381,176,67,24,0,26
NT,7,F,60,3501,106,125,378,163,78,23,0,7
NT,7,F,65,2508,74,76,232,117,47,10,0,0
NT,7,F,70,1520,23,33,102,40,8,0,0,4
NT,7,F,75,902,22,3,19,6,10,0,0,0
NT,7,F,80,537,0,0,11,3,3,0,0,0
NT,7,F,85,390,0,0,12,0,0,0,0,0
ACT,8,F,0,0,0,0,0,0,0,0,0,0
ACT,8,F,5,9121,745,189,338,54,77,23,21,0
ACT,8,F,10,8582,531,117,255,26,42,13,12,0
ACT,8,F,15,8416,508,156,184,17,27,3,6,0
ACT,8,F,20,7611,1335,581,347,56,54,6,37,0
ACT,8,F,25,8564,2013,913,542,99,146,22,49,0
ACT,8,F,30,10401,1414,627,511,97,121,51,33,0
ACT,8,F,35,10456,1008,340,413,69,102,20,31,0
ACT,8,F,40,10742,757,277,318,46,69,22,28,0
ACT,8,F,45,10674,647,148,237,37,45,19,14,0
ACT,8,F,50,10437,566,106,218,27,25,19,14,0
ACT,8,F,55,9775,678,142,224,42,29,25,9,0
ACT,8,F,60,8480,565,119,190,18,17,25,7,0
ACT,8,F,65,7816,444,80,127,18,11,8,7,0
ACT,8,F,70,5430,171,53,69,11,9,7,0,0
ACT,8,F,75,3827,73,18,26,7,0,0,0,0
ACT,8,F,80,2636,49,4,11,0,3,0,0,0
ACT,8,F,85,2654,74,12,20,3,0,0,0,0
NSW,1,M,0,0,0,0,0,0,0,0,0,0
NSW,1,M,5,208354,0,2207,4454,520,862,230,213,927
NSW,1,M,10,199261,0,1431,3162,315,517,156,136,581
NSW,1,M,15,196111,0,1577,2823,254,317,112,128,988
NSW,1,M,20,181377,0,3398,5341,466,679,163,444,2333
NSW,1,M,25,175653,0,3924,5341,693,1351,241,532,1925
NSW,1,M,30,187201,0,3854,4957,767,1448,219,466,1595
NSW,1,M,35,189464,0,3005,4256,656,1172,224,300,1198
NSW,1,M,40,201356,0,2219,3817,483,837,213,206,881
NSW,1,M,45,201439,0,1601,2970,334,612,225,173,681
NSW,1,M,50,205247,0,1181,2477,274,501,188,145,480
NSW,1,M,55,197868,0,933,2235,247,352,208,136,400
NSW,1,M,60,175929,0,758,2086,211,207,234,78,244
NSW,1,M,65,161898,0,688,2075,183,140,192,25,221
NSW,1,M,70,121937,0,425,1297,111,63,89,17,136
NSW,1,M,75,86759,0,263,694,51,35,17,7,81
NSW,1,M,80,57617,0,137,411,20,12,17,0,69
NSW,1,M,85,49659,0,125,323,21,21,16,0,77
VIC,2,M,0,0,0,0,0,0,0,0,0,0
VIC,2,M,5,158778,1685,0,1997,544,670,248,179,176
VIC,2,M,10,150926,1091,0,1478,321,469,120,92,90
VIC,2,M,15,150837,788,0,1017,302,289,106,99,197
VIC,2,M,20,146185,1665,0,1628,597,543,159,312,440
VIC,2,M,25,147255,3179,0,2354,676,1380,302,591,613
VIC,2,M,30,156300,3367,0,2406,791,1509,334,457,530
VIC,2,M,35,153706,2436,0,2060,632,1092,307,297,349
VIC,2,M,40,159856,1886,0,1904,493,785,244,186,243
VIC,2,M,45,164123,1310,0,1510,329,553,215,152,162
VIC,2,M,50,158541,1040,0,1223,286,378,201,133,97
VIC,2,M,55,150256,870,0,1015,250,350,180,108,79
VIC,2,M,60,133255,772,0,889,251,173,196,71,53
VIC,2,M,65,120662,722,0,791,203,157,181,23,24
VIC,2,M,70,89886,419,0,517,95,52,99,7,15
VIC,2,M,75,65204,198,0,238,23,20,29,6,3
VIC,2,M,80,43690,114,0,140,13,6,8,0,0
VIC,2,M,85,38249,88,0,104,18,9,4,0,5
QLD,3,M,0,0,0,0,0,0,0,0,0,0
QLD,3,M,5,131956,2952,1497,0,383,787,251,382,254
