year,state,sex,age,immig,emig
1981,6,M,45,40,30
1981,6,M,50,30,20
1981,6,M,55,20,0
1981,6,M,60,30,0
1981,6,M,65,20,10
1981,6,M,70,10,0
1981,6,M,75,0,0
1981,6,M,80,0,0
1981,6,M,85,0,0
1981,7,F,0,110,50
1981,7,F,5,130,40
1981,7,F,10,110,30
1981,7,F,15,90,30
1981,7,F,20,180,80
1981,7,F,25,170,80
1981,7,F,30,150,60
1981,7,F,35,90,30
1981,7,F,40,40,10
1981,7,F,45,30,0
1981,7,F,50,30,0
1981,7,F,55,20,0
1981,7,F,60,0,0
1981,7,F,65,0,0
1981,7,F,70,0,0
1981,7,F,75,0,0
1981,7,F,80,0,0
1981,7,F,85,0,0
1981,7,M,0,140,40
1981,7,M,5,110,50
1981,7,M,10,120,30
1981,7,M,15,120,30
1981,7,M,20,180,70
1981,7,M,25,170,110
1981,7,M,30,180,90
1981,7,M,35,130,60
1981,7,M,40,80,40
1981,7,M,45,60,30
1981,7,M,50,40,20
1981,7,M,55,30,20
1981,7,M,60,20,0
1981,7,M,65,20,0
1981,7,M,70,0,0
1981,7,M,75,0,0
1981,7,M,80,0,0
1981,7,M,85,0,0
1981,8,F,0,240,230
1981,8,F,5,260,220
1981,8,F,10,220,160
1981,8,F,15,160,100
1981,8,F,20,220,170
1981,8,F,25,340,280
1981,8,F,30,350,360
1981,8,F,35,250,250
1981,8,F,40,160,130
1981,8,F,45,110,90
1981,8,F,50,60,80
1981,8,F,55,50,50
1981,8,F,60,50,40
1981,8,F,65,40,20
1981,8,F,70,20,0
1981,8,F,75,0,0
1981,8,F,80,0,0
1981,8,F,85,0,0
1981,8,M,0,270,240
1981,8,M,5,270,250
1981,8,M,10,230,170
1981,8,M,15,160,90
1981,8,M,20,210,150
1981,8,M,25,290,250
1981,8,M,30,410,380
1981,8,M,35,320,320
1981,8,M,40,250,200
1981,8,M,45,160,140
1981,8,M,50,110,90
1981,8,M,55,70,70
1981,8,M,60,50,40
1981,8,M,65,40,20
1981,8,M,70,20,0
1981,8,M,75,0,0
1981,8,M,80,0,0
1981,8,M,85,0,0
1982,1,F,0,3030,1300
1982,1,F,5,2740,1000
1982,1,F,10,2270,730
1982,1,F,15,2780,830
1982,1,F,20,5050,2970
1982,1,F,25,5320,2760
1982,1,F,30,4260,1940
1982,1,F,35,2740,1250
1982,1,F,40,1510,670
1982,1,F,45,890,500
1982,1,F,50,680,330
1982,1,F,55,670,320
1982,1,F,60,740,340
1982,1,F,65,520,260
1982,1,F,70,370,180
1982,1,F,75,190,100
1982,1,F,80,60,40
1982,1,F,85,20,20
1982,1,M,0,3330,1450
1982,1,M,5,3110,1140
1982,1,M,10,2670,850
1982,1,M,15,2880,720
1982,1,M,20,5310,3170
1982,1,M,25,5700,3200
1982,1,M,30,5140,2480
1982,1,M,35,3750,1820
1982,1,M,40,2430,1170
1982,1,M,45,1470,780
1982,1,M,50,910,520
1982,1,M,55,710,420
1982,1,M,60,510,280
1982,1,M,65,490,250
1982,1,M,70,300,150
1982,1,M,75,140,70
1982,1,M,80,50,30
1982,1,M,85,20,20
1982,2,F,0,1990,800
1982,2,F,5,1840,660
1982,2,F,10,1520,530
1982,2,F,15,1770,490
1982,2,F,20,2850,1670
1982,2,F,25,3230,1530
1982,2,F,30,2700,1120
1982,2,F,35,1730,790
1982,2,F,40,950,450
1982,2,F,45,550,270
1982,2,F,50,430,240
1982,2,F,55,460,260
1982,2,F,60,500,220
1982,2,F,65,420,190
1982,2,F,70,270,140
1982,2,F,75,140,90
1982,2,F,80,50,50
1982,2,F,85,30,10
1982,2,M,0,2170,840
1982,2,M,5,2000,780
1982,2,M,10,1760,580
1982,2,M,15,2050,490
1982,2,M,20,3010,1860
1982,2,M,25,3360,1770
1982,2,M,30,3110,1420
1982,2,M,35,2280,1110
1982,2,M,40,1410,660
1982,2,M,45,890,440
1982,2,M,50,530,290
1982,2,M,55,430,270
1982,2,M,60,390,180
1982,2,M,65,360,160
1982,2,M,70,220,110
1982,2,M,75,130,50
1982,2,M,80,30,30
1982,2,M,85,20,10
1982,3,F,0,1150,620
1982,3,F,5,1240,520
1982,3,F,10,1050,370
1982,3,F,15,1080,420
1982,3,F,20,1900,1270
1982,3,F,25,1940,1080
1982,3,F,30,1630,740
1982,3,F,35,1170,470
1982,3,F,40,640,260
1982,3,F,45,320,210
1982,3,F,50,230,140
1982,3,F,55,230,90
1982,3,F,60,230,100
1982,3,F,65,180,90
1982,3,F,70,140,60
1982,3,F,75,50,30
1982,3,F,80,20,10
1982,3,F,85,20,0
